,importance,stddev,p_value,n,p99_high,p99_low
tcp_chksum_2,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_3,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_4,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_5,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_6,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_7,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_8,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_10,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_11,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_12,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_13,0.0,0.0,0.5,5,0.0,0.0
tcp_chksum_14,0.0,0.0,0.5,5,0.0,0.0
tls_type_7,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_13,0.0,0.0,0.5,5,0.0,0.0
tls_version_14,0.0,0.0,0.5,5,0.0,0.0
tls_version_15,0.0,0.0,0.5,5,0.0,0.0
tls_len_1,0.0,0.0,0.5,5,0.0,0.0
tls_len_2,0.0,0.0,0.5,5,0.0,0.0
tls_len_3,0.0,0.0,0.5,5,0.0,0.0
tls_len_4,0.0,0.0,0.5,5,0.0,0.0
tls_len_5,0.0,0.0,0.5,5,0.0,0.0
tls_len_6,0.0,0.0,0.5,5,0.0,0.0
tls_len_7,0.0,0.0,0.5,5,0.0,0.0
tls_len_8,0.0,0.0,0.5,5,0.0,0.0
tls_len_9,0.0,0.0,0.5,5,0.0,0.0
tls_len_11,0.0,0.0,0.5,5,0.0,0.0
tls_len_13,0.0,0.0,0.5,5,0.0,0.0
tls_len_14,0.0,0.0,0.5,5,0.0,0.0
tcp_window_15,0.0,0.0,0.5,5,0.0,0.0
tcp_window_14,0.0,0.0,0.5,5,0.0,0.0
tcp_window_13,0.0,0.0,0.5,5,0.0,0.0
tcp_window_12,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_15,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_16,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_17,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_18,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_19,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_20,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_21,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_22,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_23,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_24,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_25,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_26,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_27,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_28,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_29,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_30,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_31,0.0,0.0,0.5,5,0.0,0.0
tcp_dataofs_0,0.0,0.0,0.5,5,0.0,0.0
tcp_dataofs_2,0.0,0.0,0.5,5,0.0,0.0
tcp_dataofs_3,0.0,0.0,0.5,5,0.0,0.0
tcp_flags_2,0.0,0.0,0.5,5,0.0,0.0
tcp_flags_5,0.0,0.0,0.5,5,0.0,0.0
tcp_window_0,0.0,0.0,0.5,5,0.0,0.0
tcp_window_5,0.0,0.0,0.5,5,0.0,0.0
tcp_window_6,0.0,0.0,0.5,5,0.0,0.0
tcp_window_7,0.0,0.0,0.5,5,0.0,0.0
tcp_window_9,0.0,0.0,0.5,5,0.0,0.0
tcp_window_10,0.0,0.0,0.5,5,0.0,0.0
tcp_window_11,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_14,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_15,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_2,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_9,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_4,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_5,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_6,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_7,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_0,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_1,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_2,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_3,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_4,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_5,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_6,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_7,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_8,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_10,0.0,0.0,0.5,5,0.0,0.0
ip_src_9,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_11,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_12,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_13,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_14,0.0,0.0,0.5,5,0.0,0.0
ip_chksum_15,0.0,0.0,0.5,5,0.0,0.0
ip_src_0,0.0,0.0,0.5,5,0.0,0.0
ip_src_1,0.0,0.0,0.5,5,0.0,0.0
ip_src_2,0.0,0.0,0.5,5,0.0,0.0
ip_src_3,0.0,0.0,0.5,5,0.0,0.0
ip_src_4,0.0,0.0,0.5,5,0.0,0.0
ip_src_5,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_0,0.0,0.0,0.5,5,0.0,0.0
ip_src_7,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_3,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_2,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_1,0.0,0.0,0.5,5,0.0,0.0
ip_ttl_0,0.0,0.0,0.5,5,0.0,0.0
ip_len_3,0.0,0.0,0.5,5,0.0,0.0
ip_len_4,0.0,0.0,0.5,5,0.0,0.0
ip_len_5,0.0,0.0,0.5,5,0.0,0.0
ip_len_6,0.0,0.0,0.5,5,0.0,0.0
ip_len_7,0.0,0.0,0.5,5,0.0,0.0
ip_len_8,0.0,0.0,0.5,5,0.0,0.0
ip_len_9,0.0,0.0,0.5,5,0.0,0.0
ip_len_10,0.0,0.0,0.5,5,0.0,0.0
ip_len_11,0.0,0.0,0.5,5,0.0,0.0
ip_len_12,0.0,0.0,0.5,5,0.0,0.0
ip_len_15,0.0,0.0,0.5,5,0.0,0.0
ip_id_0,0.0,0.0,0.5,5,0.0,0.0
ip_id_1,0.0,0.0,0.5,5,0.0,0.0
ip_id_2,0.0,0.0,0.5,5,0.0,0.0
ip_id_3,0.0,0.0,0.5,5,0.0,0.0
ip_id_4,0.0,0.0,0.5,5,0.0,0.0
ip_id_5,0.0,0.0,0.5,5,0.0,0.0
ip_id_6,0.0,0.0,0.5,5,0.0,0.0
ip_id_7,0.0,0.0,0.5,5,0.0,0.0
ip_id_8,0.0,0.0,0.5,5,0.0,0.0
ip_id_9,0.0,0.0,0.5,5,0.0,0.0
ip_id_11,0.0,0.0,0.5,5,0.0,0.0
ip_id_12,0.0,0.0,0.5,5,0.0,0.0
ip_id_13,0.0,0.0,0.5,5,0.0,0.0
ip_id_14,0.0,0.0,0.5,5,0.0,0.0
ip_id_15,0.0,0.0,0.5,5,0.0,0.0
ip_flags_1,0.0,0.0,0.5,5,0.0,0.0
ip_src_8,0.0,0.0,0.5,5,0.0,0.0
ip_src_6,0.0,0.0,0.5,5,0.0,0.0
ip_src_10,0.0,0.0,0.5,5,0.0,0.0
ip_dst_24,0.0,0.0,0.5,5,0.0,0.0
ip_dst_10,0.0,0.0,0.5,5,0.0,0.0
ip_src_11,0.0,0.0,0.5,5,0.0,0.0
ip_dst_12,0.0,0.0,0.5,5,0.0,0.0
ip_dst_13,0.0,0.0,0.5,5,0.0,0.0
ip_dst_14,0.0,0.0,0.5,5,0.0,0.0
ip_dst_15,0.0,0.0,0.5,5,0.0,0.0
ip_dst_16,0.0,0.0,0.5,5,0.0,0.0
ip_dst_17,0.0,0.0,0.5,5,0.0,0.0
ip_dst_18,0.0,0.0,0.5,5,0.0,0.0
ip_dst_19,0.0,0.0,0.5,5,0.0,0.0
ip_dst_20,0.0,0.0,0.5,5,0.0,0.0
ip_dst_21,0.0,0.0,0.5,5,0.0,0.0
ip_dst_22,0.0,0.0,0.5,5,0.0,0.0
ip_dst_26,0.0,0.0,0.5,5,0.0,0.0
ip_dst_8,0.0,0.0,0.5,5,0.0,0.0
ip_dst_28,0.0,0.0,0.5,5,0.0,0.0
ip_dst_30,0.0,0.0,0.5,5,0.0,0.0
ip_dst_31,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_0,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_2,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_5,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_7,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_10,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_11,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_12,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_13,0.0,0.0,0.5,5,0.0,0.0
tcp_sport_14,0.0,0.0,0.5,5,0.0,0.0
ip_tos_4,0.0,0.0,0.5,5,0.0,0.0
ip_dst_9,0.0,0.0,0.5,5,0.0,0.0
ip_dst_11,0.0,0.0,0.5,5,0.0,0.0
ip_dst_7,0.0,0.0,0.5,5,0.0,0.0
ip_src_26,0.0,0.0,0.5,5,0.0,0.0
ip_src_12,0.0,0.0,0.5,5,0.0,0.0
ip_src_13,0.0,0.0,0.5,5,0.0,0.0
ip_src_14,0.0,0.0,0.5,5,0.0,0.0
ip_src_15,0.0,0.0,0.5,5,0.0,0.0
ip_src_16,0.0,0.0,0.5,5,0.0,0.0
ip_src_17,0.0,0.0,0.5,5,0.0,0.0
ip_src_18,0.0,0.0,0.5,5,0.0,0.0
ip_src_19,0.0,0.0,0.5,5,0.0,0.0
ip_src_20,0.0,0.0,0.5,5,0.0,0.0
ip_src_21,0.0,0.0,0.5,5,0.0,0.0
ip_src_22,0.0,0.0,0.5,5,0.0,0.0
ip_src_23,0.0,0.0,0.5,5,0.0,0.0
ip_dst_6,0.0,0.0,0.5,5,0.0,0.0
ip_src_24,0.0,0.0,0.5,5,0.0,0.0
tls_len_15,0.0,0.0,0.5,5,0.0,0.0
ip_src_31,0.0,0.0,0.5,5,0.0,0.0
ip_src_28,0.0,0.0,0.5,5,0.0,0.0
ip_src_29,0.0,0.0,0.5,5,0.0,0.0
ip_dst_5,0.0,0.0,0.5,5,0.0,0.0
ip_dst_4,0.0,0.0,0.5,5,0.0,0.0
ip_src_30,0.0,0.0,0.5,5,0.0,0.0
ip_dst_3,0.0,0.0,0.5,5,0.0,0.0
ip_src_27,0.0,0.0,0.5,5,0.0,0.0
ip_dst_0,0.0,0.0,0.5,5,0.0,0.0
ip_dst_1,0.0,0.0,0.5,5,0.0,0.0
ip_dst_2,0.0,0.0,0.5,5,0.0,0.0
tls_len_10,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
tls_len_12,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_dst_23,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_id_10,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
tcp_window_4,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_len_13,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
ip_len_14,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
tcp_dataofs_1,-3.999999999999559e-05,8.944271909998174e-05,0.8130495168499705,5,0.00014416379485661997,-0.00022416379485661118
